SKU,Qty
512004,3
512005,3
512450,3
513103,3
513104,3
513105,3
513106,4
513903,3
513904,4
513905,3
513906,3
51600,3
524010,3
525000,4
525100,3
525200,3
525820,3
525830,4
52630,3
52640,4
52650,3
52660,3
52680,3
52700,3
52800,4
530208,3
530300,3
557000,3
557100,3
557500,3
557800,3
557900,3
576090,5
598035,4
598038,3
598210,3
598220,3
598250,3
598290,3
598900,3
599300,3
599400,3
599500,3
599600,3
603230,3
603330,3
605030,3
61400,3
62500,3
626260,4
626265,6
65710,3
65800,3
664620,4
664630,3
669215,3
669220,3
669225,4
67250,3
67300,3
67430,3
67450,4
689603,3
689604,3
689605,3
689606,3
689608,3
689610,3
689710,3
689715,3
689720,3
689725,3
700340,3
700540,3
700840,3
704240,3
704340,3
704440,3
704540,3
705015,3
705530,3
705930,3
706300,3
706400,4
706415,3
706416,3
706418,3
706422,3
706425,3
706430,4
706435,3
706440,3
706445,3
706450,3
706455,3
706460,3
706510,3
706512,3
706515,3
706516,3
706518,3
706520,3
706522,3
706525,3
706530,4
706535,3
706540,3
706545,3
706550,3
706900,3
708000,3
708801,3
712022,6
723540,3
726010,8
757295,3
757800,3
757900,3
757910,3
758100,3
758300,3
758600,3
777800,3
778200,3
778400,3
778500,3
779600,3
783500,3
783908,3
784208,3
784210,3
784212,3
784300,3
784400,3
784500,3
784600,3
784800,3
784900,3
789540,5
790540,4
795726,6
795728,8
795926,7
795930,8
89500,3
89510,3
89530,3
89560,3
89600,3
90690,3
91000,4
91700,3
92090,4
92100,3
922910,3
92300,4
92400,3
928420,3
928430,3
928440,3
928460,3
929300,3
981000,3
982340,3
