SKU,Qty
108709,3
108743,2
108753,2
108759,2
108763,2
108773,2
108953,2
109053,2
1091521,1
118683,2
118693,4
118903,2
118973,2
2342167,1
2342470,1
2347120,1
2347180,1
242138,5
242140,2
242640,2
247210,3
247302,3
247304,2
248920,1
260008,5
260208,5
260210,1
3400257,1
3408300,1
3410365,1
3410805,1
3411172,1
3411197,1
4007332,1
4139130,0
4140760,1
4173771,0
4257944,1
4257959,0
4257978,2
4257990,2
4258237,2
4258478,1
4258508,2
4258682,1
4259930,2
4259980,1
4300805,1
4300870,1
4300880,0
4301220,1
4301295,0
4321145,0
4326300,1
4331220,1
4340539,0
4350730,1
44300,2
4430860,1
4430890,1
4430985,3
4431140,2
4431144,1
4460720,1
4465160,2
4465170,3
4465185,0
4466154,0
4466270,1
4501780,1
4510030,0
4510040,0
4511489,2
4512042,2
4512097,3
4513442,1
4513861,1
4513887,1
4513900,1
4513914,0
4513925,3
4513942,1
4513992,1
4513995,1
4513997,1
4514115,0
4514120,2
4514155,2
4514210,1
4514290,1
4520179,0
4520500,1
4530074,4
4600010,1
49492074,4
500210,2
500220,1
500310,2
500312,2
500400,2
510000,2
512004,1
51600,2
525830,2
576090,2
598035,1
598038,2
598900,2
626045,10
626260,2
626265,3
706400,2
712022,3
723540,4
726010,2
757295,2
789540,3
790540,2
795726,3
795728,2
795926,3
795930,2
