SKU,Model,In_transit,Total_preorders,Stock,RSP,ETA_Almaty
49708950,"Набор оснастки для реноватора Einhell Multi-Tool-Set Ho,Me,Ku 17tlg. (49708950)",-10,0,0,25800,
4513590,"Аккум. Шуруповерт Einhell TE-CD 12/1 Li (1x2,0Ah) (4513590)",0,0,0,44200,
4513592,"Аккум. Шуруповерт Einhell TE-CD 12/1 X-Li (1x2,0Ah) (4513592)",-50,0,0,47600,
4513594,,0,0,0,61200,
4513660,Аккум. Шуруповерт Einhell TH-CD 12-2 Li (4513660),-50,0,35,39800,
4513820,,0,0,0,66500,
4513846,"Аккум. Шуруповерт Einhell TC-CD 18-2 Li (1x1,5Ah) (4513846)",0,0,24,51700,
4514250,,0,0,0,39000,
4513598,,0,0,0,81600,
4513890,"Аккум. Ударный Шуруповерт Einhell TE-CD 12/1 Li-i (2x2,0Ah) (4513890)",0,0,0,68000,
4513442,"Аккум. Шуруповерт Einhell TC-SD 3,6 Li (4513442)",0,0,235,14900,
4513495,"Аккум. Шуруповерт Einhell TE-SD 3,6 Li Kit (4513495)",-50,0,0,34000,
4513501,"Аккум. Шуруповерт Einhell TE-SD 3,6/1 Li (4513501)",0,0,0,23800,
4259905,Сетев. Шуруповерт для гипсокартона Einhell TH-DY 500 E (4259905),0,0,0,44200,
4259925,Сетев. Шуруповерт для гипсокартона Einhell TC-DY 710 E (4259925),0,0,0,47600,
49108801,Набор бит/сверл Einhell Bitsatz 34 tlg. S-Box (49108801),0,0,0,10800,
49155025,Набор бит/сверл Einhell Handy Bitbox Impact 12tlg. (49155025),0,0,0,11500,
49108806,Набор бит/сверл Einhell Bit-Bohrerbox 22tlg. S-Box (49108806),0,0,0,12200,
49108911,Набор бит/сверл Einhell Bit-Bohrerbox 39tlg. L-Box (49108911),0,0,2,17000,
49108956,Набор бит/сверл Einhell Bit-Bohrerbox 39tlg. L-Box (49108956),0,0,0,17000,
4259955,Насадка для шуруповерта по гипсокартону Einhell Magazine Attachment (4259955),0,0,38,23800,
4261000,"Лента для шурупов, мелкая, 3,5x25 мм Einhell Schraubengurt, fein, 3,5x25mm (4261000)",0,0,0,17700,
4261001,"Лента для шурупов, мелкая, 3,5x35 мм Einhell Schraubengurt, fein, 3,5x35mm (4261001)",0,0,0,20400,
4261002,"Лента для шурупов, крупная, 3,5x35 мм Einhell Schraubengurt, grob, 3,5x35mm (4261002)",0,0,0,19500,
4261003,"Лента для шурупов с буром, 3,5x35 мм Einhell Schraubengurt, Bohrsp. 3,5x35 (4261003)",0,0,0,23000,
4261004,"Лента для шурупов, крупная, 3,5x45 мм Einhell Schraubengurt, grob, 3,5x45mm (4261004)",0,0,0,21200,
4350620,Сетев. Ламельный фрезер Einhell TC-BJ 900 (4350620),0,0,0,54400,
4350640,Сетев. Ламельный фрезер Einhell TE-BJ 900 (4350640),0,0,12,68000,
4350730,Сетев. Штроборез Einhell TC-MA 1300 (4350730),0,51,32,79000,
4350735,Сетев. Штроборез Einhell TE-MA 1500 (4350735),-10,0,4,126600,
4350740,Сетев. Штроборез Einhell TE-MA 1700 (4350740),-11,50,19,129200,
4350470,Сетев. Фрезер Einhell TC-RO 1155 E (4350470),-10,52,0,47600,
4350490,Сетев. Фрезер Einhell TE-RO 1255 E (4350490),0,0,4,67900,
49758941,"Диск для ламельного фрезера 100х22х4 мм, 6 зуб Einhell Milling blade 100x22x4,0mm 6T. (49758941)",0,0,21,8800,
4350736,Алмазный диск Einhell Dia.-Trennscheibe 125mm (4350736),-30,0,0,13600,
4350741,Алмазный диск Einhell Dia.-Trennscheibe 150mm (4350741),0,0,0,16900,
49757291,Набор фрез 15 шт. для фрезера Einhell Fräsersatz 8 mm 15 pcs. (49757291),0,0,0,25800,
4345310,Сетев. Рубанок Einhell TC-PL 750 (4345310),0,54,23,34000,
4345320,Сетев. Рубанок Einhell TE-PL 900 (4345320),-10,0,0,68000,
4345325,Сетев. Рубанок Einhell TE-PL 920 (4345325),0,52,0,74800,
49568315,"Лезвия для электрического рубанка Einhell 2 HM-Wendemes. 5,5x82,0x1,1 (49568315)",0,0,378,10200,
4331005,Сетев. Циркулярная пила Einhell TE-CS 190/1 (4331005),0,0,38,55900,
4331010,Сетев. Циркулярная пила Einhell TE-CS 165 (4331010),0,52,0,61200,
4331050,Сетев. Циркулярная пила Einhell TC-CS 1410 (4331050),0,52,11,61200,
4331030,Сетев. Циркулярная пила Einhell TC-CS 89 (4331030),-5,0,0,61200,
4331300,Сетев. Циркулярная пила Einhell TE-PS 165 (4331300),50,0,0,76900,16.12.2025
49583359,Пильный диск HM Mit-Dü 150x16 Z20 Einhell Sägebl HM Mit-Dü 150x16 Z20 (49583359),0,0,0,14200,
49584759,Пильный диск HM Mit-Dü 165x20 Z20 Einhell Sägebl HM Mit-Dü 165x20 Z20 (49584759),0,0,0,17000,
49586956,Пильный диск HM Mit-Dü 190x30 Z30 Einhell Sägebl HM Mit-Dü 190x30 Z30 (49586956),0,0,0,25100,
4502118,Направляющая шина для циркулярной пилы Einhell Guide Rail Alu 2x1000mm (4502118),0,0,32,51000,
49575915,"Набор мини-круговой пилы Ø 89, 5 шт. Einhell Mini-Kreissäge Set Ø 89 5tg (49575915)",0,0,0,13600,
4321140,Сетев. Лобзик Einhell TC-JS 85 (4321140),0,0,22,32500,
4321145,Сетев. Лобзик Einhell TC-JS 80/1 (4321145),-12,0,1,29000,
4321160,Сетев. Лобзик Einhell TE-JS 100 (4321160),0,0,0,61200,
4321165,Сетев. Лобзик Einhell TC-JS 90 (4321165),0,0,0,54400,
49617350,"Набор лезвий для лобзика, 10 шт. Einhell Stich-Sägeblatt Box 10-tlg. T (49617350)",0,0,0,9500,
49625427,"Набор лезвий для лобзика, 4 шт. Ho/Met Аккумуляторный Einhell St-Sägebl.Set 4tg Ho/Met Akku (49625427)",0,0,0,9500,
4326180,Сетев. Сабельная пила Einhell TE-AP 950 E (4326180),52,0,0,53400,16.12.2025
49576105,"Набор лезвий для сабельной пилы, 3 шт. Ho/Met Аккумуляторный Einhell Sä-Sägebl.Set 3tg Ho/Met Akku (49576105)",0,0,0,22400,
4464235,Сетев. Дельташлифмашина Einhell TC-DS 19 (4464235),0,0,0,23800,
4464255,Сетев. Дельташлифмашина Einhell TC-DS 20 E (4464255),0,0,0,27200,
4460560,Сетев. Мультишлифмашина Einhell TE-OS 1320 (4460560),0,0,26,29200,
4460610,Сетев. Мультишлифмашина Einhell TH-OS 1016 (4460610),0,0,0,23800,
49491974,"Набор дисков Q-Stick Ø125, 25 шт. Einhell Q-Stick Scheibe Ø125 25tlg. (49491974)",0,0,0,10200,
49492874,Шлифлисты для дельташлифмашины Einhell 20 Q-Stick Schei.Delta 93 mm (49492874),0,0,57,8800,
49496174,15 шлифовальных дисков Q-Stick 150x100 мм Einhell 15 Q-Stick Schleifd. 150x100mm (49496174),0,0,0,7500,
4466230,Сетев. Ленточная шлифмашина Einhell TE-BS 8540 E (4466230),-10,0,0,69900,
4466245,Сетев. Ленточная шлифмашина Einhell TE-BS 850 E (4466245),0,52,23,79000,
4466260,Сетев. Ленточная шлифмашина Einhell TC-BS 8038 (4466260),0,54,13,44200,
49912575,5 шлифовальных лент Кор. 75x533 мм Einhell 5 Schl-Bänder Kor. 75x533 mm (49912575),0,0,0,7500,
4462000,Сетев. Эксцентриковая шлифмашина Einhell TE-RS 40 E (4462000),0,0,0,51000,
4462005,Сетев. Эксцентриковая шлифмашина Einhell TC-RS 425 E (4462005),0,54,0,39900,
49492095,"Набор шлифовальной бумаги 150 мм, 5 шт. Einhell Schleifpapier-Set 150mm, 5-tlg (49492095)",0,0,0,7500,
4259930,Сетев. Шлифмашина для стен и потолка Einhell TC-DW 225 (4259930),60,0,26,108800,16.12.2025
4259945,Сетев. Шлифмашина для стен и потолка Einhell TC-DWS 225 (4259945),0,50,1,68000,
4259960,Сетев. Шлифмашина для стен и потолка Einhell TE-DW 225 X (4259960),0,50,29,149600,
4259940,Сетев. Шлифмашина для стен и потолка Einhell TE-DW 180 (4259940),0,0,1,119000,
49490905,Шлифлисты в комплекте (круг) Einhell Git-Schl-Pap. Set Ø 180 5tg (49490905),0,0,0,3700,
49490965,Шлифлисты в комплекте (круг) Einhell Git-Schl-Pap Set Ø 180 15tg (49490965),0,0,0,9500,
49491005,Шлифлисты в комплекте (круг + треуг) Einhell Git-Schl-Pap. Set Ø 225 5tg (49491005),0,0,25,6100,
49491006,Шлифлисты в комплекте (круг) Einhell Git-Schl-Pap. Set Ø225mm 5tlg. (49491006),0,0,49,6100,
49491065,Шлифлисты в комплекте (круг + треуг) Einhell Git-Schl-Pap Set Ø 225 15tg (49491065),0,0,32,14200,
49491066,Шлифлисты в комплекте (круг) Einhell Git-Schl-Pap Set Ø225mm 15tlg. (49491066),0,0,42,14200,
49491075,Шлифлисты в комплекте (треуг) Einhell 5 Q-Stick Schei.Delta 287 mm (49491075),0,0,43,6100,
4460620,Сетев. Виброшлифмашина Einhell TE-OS 2520 E (4460620),-10,0,0,54400,
4460640,Сетев. Виброшлифмашина Einhell TC-OS 1520 (4460640),0,0,2,25100,
49817985,15 шлифовальных дисков Q-Stick 187x93 мм Einhell 15 Q-Stick Schleifst. 187x93mm (49817985),0,0,0,7500,
49818975,"Набор шлифовальных лент 230x115 мм, 15 шт. Einhell Schl-Str Set 230x115mm 15tg (49818975)",0,0,0,7800,
49726855,"Алмазный шлифовальный диск, диам. 180 мм Einhell Diamond Grind.Disc dia180mm (49726855)",0,0,0,26200,
4419816,"Лента шлифовальная в наборе Einhell Schleifbandset, 9x457, 35tlg. (4419816)",0,0,0,8200,
4419817,"Лента шлифовальная в наборе Einhell Schleifbandset, 13x457, 35tlg. (4419817)",0,0,0,8800,
4260005,Сетев. Краскопульт Einhell TC-SY 400 P (4260005),0,0,10,39400,
4260010,Сетев. Краскопульт Einhell TC-SY 500 P (4260010),0,52,6,47600,
4260015,Сетев. Краскопульт Einhell TC-SY 600 S (4260015),0,0,5,61200,
4260020,Сетев. Краскопульт Einhell TC-SY 700 S (4260020),0,0,32,81600,
4260001,Краскопультная емкость 800 мл Einhell Paint Cup 800ml (4260001),0,50,0,5400,
4260002,Краскопультная емкость 1000 мл Einhell Paint cup 1000ml (4260002),0,50,0,6800,
4260003,Насадка для краскопульта 800 мл Einhell Paint sprayer attachment 800ml (4260003),0,50,0,12900,
2270105,,0,0,0,37400,
2270110,,0,0,0,91800,
2270095,Нивелир Einhell TC-LL 1 (2270095),0,0,0,19900,
2270075,Дальномер Einhell TC-LD 25 (2270075),-50,0,0,29200,
2270080,Дальномер Einhell TC-LD 50 (2270080),-50,0,0,39900,
2270090,Детектор Einhell TC-MD 50 (2270090),0,0,0,25100,
2270115,Штатив Einhell Tripod (2270115),-50,0,0,25800,
2270116,Штатив 85 - 170 см Einhell Tripod 85 - 170 cm (2270116),0,0,0,39000,
4520179,Сетев. Технический фен Einhell TH-HA 2000/1 (4520179),-30,0,9,19000,
4520184,Сетев. Технический фен Einhell TC-HA 2000/1 (4520184),0,0,0,19000,
4520195,Сетев. Технический фен Einhell TE-HA 2000 E (4520195),-50,56,30,39400,
4257890,Сетев. Гвоздезабиватель Einhell TC-EN 20 E (4257890),-1,0,28,25100,
4522170,Сетев. Клеевой пистолет Einhell TC-GG 30 (4522170),0,0,58,8100,
49538955,24 клеевых стержня 7x150 мм Einhell 24 Klebesticks 7x150 mm (49538955),0,0,0,5100,
49539355,24 клеевых стержня 11x150 мм Einhell 24 Klebesticks 11x150 mm (49539355),0,0,0,9900,
4137874,"Гвозди 32 мм, 3000 штук Einhell Nägel 32mm, 3000 Stück (4137874)",0,0,0,12200,
4137875,"Скобы 19 мм, 3000 штук Einhell Klammer 19mm, 3000 Stück (4137875)",0,0,0,10800,
49353508,1000 скоб для степлера 8 мм тип 53 Einhell 1000-Tackerklammern 8mm Typ 53 (49353508),0,0,0,3100,
49355614,1000 гвоздей 14 мм тип 55 Einhell 1000-Nägel 14 mm Typ 55 (49355614),0,0,0,5100,
49510950,Комплект оснастки для шлифовки/гравировки Einhell Zubeh.Set Schleif-/Gravurwerkz (49510950),0,0,0,12200,
4257880,"Аккум. Скобозабиватель Einhell TC-CT 3,6 Li (4257880)",0,0,11,32600,
4522190,"Аккум. Клеевой пистолет Einhell TC-CG 3,6/1 Li (4522190)",-1,0,0,23800,
4419330,"Аккум. Гравер Einhell TE-MT 7,2 Li (4419330)",0,0,5,47600,
4530037,Сумка для инструментов Einhell Einhell Bag 45/22 (4530037),0,0,0,14900,
4530074,Сумка для инструментов Einhell Einhell Bag 45/29 (4530074),0,0,161,19000,
4530078,Сумка для инструментов Einhell Einhell Bag 56/29 (4530078),0,0,30,27200,
4530045,Кейс Einhell E-Box S35/33 (4530045),0,0,0,19000,
4530049,Кейс Einhell E-Box M55/40 (4530049),0,0,0,34000,
4530054,Кейс Einhell E-Box L70/35 (4530054),0,0,5,47600,
4540040,Кейс Einhell Koffer für DL-Toolse (4540040),0,0,3,17000,
4540011,Кейс Einhell E-Case S-F (4540011),0,100,20,23800,
4540012,Кейс Einhell Plastic Compartments Set (4540012),0,0,0,7500,
4540013,Поролоновый вкладыш Einhell Grid Foam Set (4540013),0,0,0,9900,
4540014,Кейс с колесиками Einhell E-Case L with wheels (4540014),0,0,20,61200,
4540015,Комплект кейсов Einhell E-Case Tower (4540015),0,50,21,96800,
4540019,Кейс + поролоновый вкладыш Einhell E-Case S-F incl. grid foam (4540019),0,0,21,34000,
4540020,Кейс + пластиковые перегородки Einhell E-Case S-F incl. dividers (4540020),0,50,21,30600,
4540021,Кейс Einhell E-Case M (4540021),0,0,20,39000,
4540031,Кейс с колесиками Einhell E-Case L with wheels OV (4540031),0,0,0,68000,
4300295,Сетев. Торцовочная пила Einhell TC-MS 2112 (4300295),-5,50,31,68000,
4300370,Сетев. Торцовочная пила Einhell TC-MS 216 (4300370),-5,0,26,74800,
4300850,Сетев. Торцовочная пила Einhell TC-MS 2513 L (4300850),-5,0,0,115600,
4300335,Сетев. Торцовочная пила Einhell TE-MS 216 T (4300335),0,0,0,197200,
4300341,Сетев. Торцовочная пила Einhell TE-MS 254 T (4300341),0,0,0,258400,
4300347,Сетев. Торцовочная пила Einhell TC-MS 3017 T (4300347),0,0,0,244800,
4300380,Сетев. Торцовочная пила Einhell TC-SM 216 (4300380),0,0,20,115600,
4300385,Сетев. Торцовочная пила Einhell TC-SM 254 (4300385),0,0,0,170000,
4300395,Сетев. Торцовочная пила Einhell TC-SM 2534/1 Dual (4300395),0,0,1,170000,
4300805,Сетев. Торцовочная пила Einhell TC-SM 2531/2 U (4300805),0,0,0,136000,
4300860,Сетев. Торцовочная пила Einhell TE-SM 2131 Dual (4300860),0,0,0,149600,
4300866,Сетев. Торцовочная пила Einhell TE-SM 8 L Dual (4300866),0,0,46,149600,
4300870,Сетев. Торцовочная пила Einhell TE-SM 2534 Dual (4300870),0,0,2,190400,
4300877,Сетев. Торцовочная пила Einhell TE-SM 10 L Dual (4300877),0,50,2,175600,
4310614,Подставка для торцовочной пилы Einhell MSS 1608 (4310614),0,50,0,57800,
4310615,Подставка для торцовочной пилы Einhell MSS 1610 (4310615),0,0,5,88400,
4310620,Подставка для торцовочной пилы Einhell E-Stand (4310620),-2,0,0,59800,
4340412,Сетев. Настольная пила Einhell TC-TS 8 I (4340412),0,50,0,81600,
4340415,Сетев. Настольная пила Einhell TC-TS 200 (4340415),0,0,0,68000,
4340425,Сетев. Настольная пила Einhell TC-TS 210 (4340425),-5,0,0,91800,
4340426,Сетев. Настольная пила Einhell TC-TS 8 (4340426),0,50,0,99000,
4340430,Сетев. Настольная пила Einhell TE-TS 254 T (4340430),-5,0,0,176800,
4340435,Сетев. Настольная пила Einhell TP-CC 10 T (4340435),0,0,0,319600,
4340515,Сетев. Настольная пила Einhell TC-TS 2225 U (4340515),0,0,13,163200,
4340539,Сетев. Настольная пила Einhell TE-CC 250 UF (4340539),0,0,0,299200,
4340556,Сетев. Настольная пила Einhell TC-TS 315 U (4340556),-5,0,1,292400,
4340559,Оснастка для стационарной пилы Einhell ST 315 (4340559),0,0,0,74800,
49587151,"Циркулярный диск Einhell Sbl D 200x16x2,4 T20 (49587151)",0,0,0,14900,
49587805,"Набор циркулярных дисков Einhell Sbl Set D 210x30x2,5 T24/42/60 (49587805)",0,0,0,42100,
49587852,"Циркулярный диск Einhell Sbl D 210x30x1,8 T40 (49587852)",0,0,0,32600,
49587861,"Циркулярный диск Einhell Sbl D 210x30x2,4 T48 (49587861)",0,0,43,24400,
49587862,"Циркулярный диск Einhell Sbl D 210x30x1,8 T64 (49587862)",0,0,0,42100,
49588251,"Циркулярный диск Einhell Sbl D 216x30x2,4 T48 (49588251)",0,0,0,24400,
49588261,"Циркулярный диск Einhell Sbl D 216x30x2,4 T60 (49588261)",0,0,0,32600,
49589305,"Набор циркулярных дисков Einhell Sbl Set D 250x30x3,2 T24/60 (49589305)",0,0,0,42100,
49589306,"Набор циркулярных дисков Einhell Sbl Set D 250x30x3,2 T24/42/60 (49589306)",0,0,13,48900,
49589341,"Циркулярный диск Einhell Sbl D 250x30x3,2 T24 (49589341)",0,0,53,19700,
49589351,"Циркулярный диск Einhell Sbl D 250x30x3,2 T48 (49589351)",0,0,53,23800,
49589352,"Циркулярный диск Einhell Sbl D 250x30x1,8 T42 (49589352)",0,0,0,48900,
49589361,"Циркулярный диск Einhell Sbl D 254x30x1,8 T42 (49589361)",0,0,0,48900,
49589551,"Циркулярный диск Einhell Sbl D 254x30x3,2 T48 (49589551)",0,0,0,22400,
49589552,"Циркулярный диск Einhell Sbl D 250x30x3,2 T60 (49589552)",0,0,0,31200,
49589561,"Циркулярный диск Einhell Sbl D 254x30x3,2 T60 (49589561)",0,0,0,31200,
49592957,"Циркулярный диск Einhell Sbl D 305x30x3,0 T40 (49592957)",0,0,0,48900,
49593151,"Циркулярный диск Einhell Sbl D 315x30x3,2 T48 (49593151)",0,0,0,38100,
4502067,"Циркулярный диск Einhell Sbl D 210x30x2,6 T24 (4502067)",0,0,0,18300,
4308018,Сетев. Стационарная ленточная пила Einhell TC-SB 200/1 (4308018),0,0,0,115600,
4308035,Сетев. Стационарная ленточная пила Einhell TC-SB 245 L (4308035),0,0,0,199000,
4308055,Сетев. Стационарная ленточная пила Einhell TC-SB 305 U (4308055),-5,0,3,326300,
49081505,"Полотно для ленточной пилы Einhell Bandsaw blade 1400x8x0,65 TPI6 (49081505)",0,0,10,12200,
49081506,"Полотно для ленточной пилы Einhell Bandsaw blade 1712x6x0,65 TPI6 (49081506)",0,0,0,14900,
49081509,"Полотно для ленточной пилы Einhell Bandsaw blad 2320x13x0,65 TPI4 (49081509)",0,0,0,16300,
4506160,Полотно для ленточной пилы Einhell Sägebandset 1141x13mm 10/14Z (4506160),0,0,0,36000,
4309040,Сетев. Стационарная ленточная пила Einhell TC-SS 405 E (4309040),-2,0,0,81600,
4309047,Сетев. Стационарная ленточная пила Einhell TC-SS 406 E (4309047),-5,0,0,88400,
49316350,Полотно для стационарной ленточной пилы Einhell 5tlg. Dekup.sägebl.-Set 127mm (49316350),0,0,0,6800,
49316352,Полотно для стационарной ленточной пилы Einhell 10tlg. Dekup.sägebl.-Set 127mm (49316352),0,0,0,8100,
4419955,Сетев. Стационарный рубанок Einhell TC-SP 204 (4419955),0,0,0,238000,
4419957,Сетев. Стационарный рубанок Einhell TC-SP 204/1 (4419957),0,0,0,238000,
49568602,2 запасных ножа для рубанка 204 мм Einhell 2 Spare Planer knife 204 mm (49568602),0,0,0,30600,
4304156,Сетев. Пылесос для стружки и древесной пыли Einhell TE-VE 550/2 A (4304156),0,0,0,163200,
4312110,Сетев. Токарный станок Einhell TC-WW 1000/1 (4312110),0,0,11,122400,
49455250,Стамески Einhell Lathe chisel set_5-pcs. (49455250),0,0,7,24400,
4310630,Набор адаптеров для экстрактора	 Einhell Extractor Adapter Set (4310630),0,0,0,12900,
4007360,Сетев. Компрессор Einhell TC-AC 270/50/8 (4007360),-5,0,19,136000,
4010393,Сетев. Компрессор Einhell TC-AC 240/50/10 OF (4010393),0,0,19,159800,
4010450,,0,0,0,136000,
4010451,Сетев. Компрессор Einhell TE-AC 270/50 Silent (4010451),0,0,0,238000,
4010452,Сетев. Компрессор Einhell TE-AC 240/24 Silent (4010452),0,0,0,204000,
4010460,,0,0,0,108800,
4010495,Сетев. Компрессор Einhell TC-AC 420/50/10 V (4010495),-5,0,19,204000,
4010800,Сетев. Компрессор Einhell TE-AC 430/90/10 (4010800),0,0,0,421600,
4010810,Сетев. Компрессор Einhell TE-AC 430/50/10 (4010810),0,0,0,380800,
4020590,Сетев. Компрессор Einhell TC-AC 200/24/8 OF (4020590),0,0,9,102000,
4020600,Сетев. Компрессор Einhell TE-AC 110/6 Silent Plus (4020600),0,0,1,105400,
4020610,Сетев. Компрессор Einhell TE-AC 135/24 Silent Plus (4020610),0,0,9,136000,
4020620,Сетев. Компрессор Einhell TE-AC 270/50 Silent Plus (4020620),-5,0,0,258400,
4020650,,0,0,0,99000,
4020655,Сетев. Компрессор Einhell TC-AC 190/6/8 OF (4020655),-5,0,0,88400,
4020660,Сетев. Компрессор Einhell TC-AC 190 OF Set (4020660),-10,0,9,61200,
4138005,Сетев. Насосная станция Einhell TC-PH 150 (4138005),0,0,0,79500,
4020577,Набор из 10 аксессуаров для воздушного компрессора Einhell 10 pcs air accessory (4020577),-10,0,0,61200,
4132720,Набор аксессуаров для компрессора. 5 предметов Einhell accessory set 5 pcs. (4132720),0,0,0,32600,
4132741,Набор аксессуаров для накачки шин. 3 предмета Einhell Druckluftset 3-tlg (4132741),-10,0,6,19000,
4132759,Набор продувочных пистолетов Einhell Blow Out Gun Set (4132759),0,0,0,8100,
4132762,Продувочный пистолет с 4 сменными насадками Einhell Blow-out Gun w 4 Exch. Nozzles (4132762),0,0,0,11500,
4132763,"Продувочный пистолет, длинный, 500 мм Einhell Blow-out gun, long 500mm (4132763)",0,0,0,13600,
4132768,Натяжная пружина Einhell Tensioning Spring (4132768),0,0,0,2700,
4132769,"Набор зубил, 4 шт. Einhell Chisel-Set 4-pcs (4132769)",0,0,0,5400,
4132776,"Набор воздушных инструментов, 13 шт. Einhell 13-piece air tool set (4132776)",-10,0,0,49900,
4132900,"Краскопульт с всасывающим бачком Einhell Paint spray gun, suction can (4132900)",0,0,0,29200,
4133000,Краскопульт Einhell Paint spray gun (4133000),0,0,0,21700,
4133030,Профессиональный краскопульт Einhell Prof. Paint spray gun (4133030),0,0,0,42100,
4133100,"Продувочный пистолет, короткий Einhell blow out gun, short (4133100)",0,0,0,5400,
4133102,"Продувочный пистолет, длинный Einhell blow out gun, long (4133102)",0,0,0,7500,
4133110,Профессиональный манометр для шин Einhell Prof. Tire Pressure Gauge (4133110),0,0,0,31900,
4133115,Цифровой манометр для шин Einhell Tire pressure gauge digital (4133115),0,0,0,21700,
4133120,Игольчатая насадка для удаления коррозии Einhell Needle Scaler Attachment (4133120),0,0,0,21700,
4133200,Краскопульт с всасывающим бачком Einhell Spray gun with suction can (4133200),0,0,0,14900,
4133210,"Двусторонний продувочный пистолет, длинный Einhell 2-way blow-out gun, long (4133210)",0,0,0,12900,
4133300,"Пескоструйный пистолет с всасывающим бачком Einhell Sand spray gun, suction can (4133300)",0,0,0,21700,
4133501,Пистолет для нанесения антикоррозийного покрытия Einhell Body under sealgun (4133501),0,0,0,21700,
4134100,"Редуктор давления с фильтром R 3/8"" Einhell Filter pressure reducer R 3/8"" (4134100)",0,0,0,45500,
4134200,"Редуктор давления с фильтром R 1/4"" Einhell Filter pressure reducer R 1/4"" (4134200)",0,0,0,36700,
4135000,"Комбинированный фильтр/масленка R 3/8"" Einhell combi R3/8"" filter/oiler (4135000)",0,0,0,82900,
4135001,"Комбинированный фильтр/масленка R 1/4"" Einhell combi R 1/4"" filter/oiler (4135001)",0,0,0,72000,
4135002,Мини-масленка R 1/4 Einhell Mini oiler R 1/4 (4135002),0,0,0,8100,
4137000,Манометр для шин Einhell Tire pressure gauge (4137000),0,0,0,16300,
4138100,"Воздушный шланг, внутренний диаметр 6 мм, длина 10 м Einhell Air hose 6mm inner dia, 10m (4138100)",0,0,0,14900,
4138200,"Воздушный шланг, внутренний диаметр 6 мм, длина 15 м Einhell Air hose 6mm inner dia, 15m (4138200)",0,0,0,16300,
4138210,"Воздушный шланг, внутренний диаметр 9 мм, длина 15 м Einhell Air hose 9mm inner dia, 15m (4138210)",0,0,0,22400,
4138310,"Специальное масло для DL-инструментов, 500 мл Einhell Spezialöl für DL-Werkz. 500ml (4138310)",0,0,0,7500,
4138311,"Абразивный песок, 1 кг; фракция 0.2-0.35 мм Einhell Abrasive sand 1 kg; 0.2-0.35mm (4138311)",0,0,0,7500,
4138315,Специальное масло для DL-инструментов Einhell Spezialöl für DL-Toolse (4138315),0,0,0,7500,
4139205,"Быстрозажимное соединение R 3/8"" внутреннее Einhell Quick-lock coupling R 3/8"" IG (4139205)",0,0,0,6100,
4139206,"Быстрозажимное соединение R 1/4"" внутреннее Einhell Quick-lock coupling R1/4"" IG (4139206)",0,0,0,6100,
4139207,"Быстрозажимное соединение R 1/4"" внешнее Einhell Quick-lock coupling R1/4"" AG (4139207)",0,0,0,6100,
4139208,"Быстроразъемное соединение R 3/8"" мужское Einhell Quick coupling, R3/8"" male (4139208)",0,0,0,6100,
4139209,"Быстрозажимное соединение R 1/2"" внешнее Einhell Quick Coupling R1/2"" AG (4139209)",0,0,0,6100,
4139210,"Быстрозажимное соединение R 1/2"" внутреннее Einhell Quick Coupling R1/2"" IG (4139210)",0,0,0,6100,
4139301,"Быстрозажимное соединение, диаметр 6 мм Einhell Quick Lock coupling 6mm dia (4139301)",0,0,0,6100,
4139302,"Быстрозажимное соединение, диаметр 9 мм Einhell Quick Lock coupling 9mm dia (4139302)",0,0,0,6100,
4139310,"Двойной соединитель для шланга, диаметр 6 мм Einhell double hose connector, 6mm dia (4139310)",0,0,0,6100,
4139320,"Двойной соединитель для шланга, диаметр 9 мм Einhell double hose connector, 9mm dia (4139320)",0,0,0,6100,
4139330,"Ниппель Michelin, диаметр 6 мм Einhell Michelin Nipple; NW 6mm (4139330)",0,0,0,6100,
4139410,"Спиральный воздушный шланг 4 м, диаметр 6 мм Einhell Spiral air hose 4m, 6mm dia (4139410)",0,0,0,10800,
4139420,"Спиральный воздушный шланг 8 м, диаметр 6 мм Einhell Spiral air hose 8m, 6mm dia (4139420)",0,0,0,15600,
4139430,"Спиральный воздушный шланг 10 м, внутренний диаметр 9 мм Einhell Spiral air hose 10m, 9mm innd (4139430)",0,0,0,34000,
4139500,"Набор соединителей для шланга, диаметр 6 мм Einhell hose connector set 6mm dia (4139500)",0,0,0,10800,
4139600,"Переходник R 3/8"" AG - R 1/4"" IG Einhell Reduction R3/8""AG-R1/4""IG (4139600)",0,0,0,3700,
4139605,"Переходник с внутренней резьбой R 3/8"" - внешней 1/2"" Einhell Reducer female R3/8""-male1/2"" (4139605)",0,0,0,3700,
4139610,"Двойной соединительный ниппель R 3/8"" Einhell double connector nipple R 3/8"" (4139610)",0,0,0,3700,
4139620,"Двойной соединительный ниппель R 1/4"" Einhell double connector nipple R 1/4"" (4139620)",0,0,0,3700,
4139630,"Переходник R 3/8"" AG - R 1/4"" AG Einhell Reduction R3/8"" AG-R1/4"" AG (4139630)",0,0,0,3700,
4139640,"Ниппель с внутренней резьбой R 1/4"" Einhell female threaded nipple R 1/4"" (4139640)",0,0,0,3000,
4139645,Ниппель с внутренней резьбой R 3/8 Einhell female threaded nipple R 3/8 (4139645),0,0,0,3000,
4139650,"Ниппель с внешней резьбой R 3/8"" Einhell male threaded nipple R 3/8"" (4139650)",0,0,0,3000,
