SKU,Model,In_transit,Total_preorders,Stock,RSP,ETA_Almaty
4431154,Аккум. Углошлифмашина Einhell AXXIO 18/115 - Solo (4431154),0,0,0,61200,
4431155,Аккум. Углошлифмашина Einhell TP-AG 18/125 CE Q Li - Solo (4431155),0,100,93,65800,
4431160,Аккум. Углошлифмашина Einhell AXXIO 36/230 Q - Solo (4431160),0,0,13,136000,
4431165,Аккум. Углошлифмашина Einhell TE-AG 18/115 Q Li Solo (4431165),0,0,0,49000,
4431134,"Аккум. Углошлифмашина Einhell TE-AG 18/115 Li (1x4,0Ah) (4431134)",0,0,0,119000,
4465190,Аккум. Реноватор Einhell TP-MG 18 Li BL - Solo (4465190),0,56,47,88400,
4465195,Аккум. Реноватор Einhell TE-MG 18/1 Li - Solo (4465195),0,54,0,47600,
4465160,Аккум. Реноватор Einhell VARRITO - Solo (4465160),-11,0,0,61200,
4513927,Аккум. Шуруповерт Einhell TC-CD 18/35 Li - Solo (4513927),-50,100,0,22400,
4513833,,0,0,0,35500,
4513997,Аккум. Шуруповерт Einhell TE-CD 18/40 Li BL - Solo (4513997),0,96,121,39000,
4514210,Аккум. Шуруповерт Einhell TP-CD 18/60 Li BL - Solo (4514210),0,100,126,61200,
4513850,Аккум. Шуруповерт Einhell TP-CD 18 Li Brushless-Solo (4513850),0,0,0,61200,
4513887,Аккум. Шуруповерт Einhell TP-CD 18/50 Li BL-Solo (4513887),20,105,95,42200,16.12.2025
4514300,Аккум. Шуруповерт Einhell TP-CD 18/80 Li BL-Solo (4514300),0,100,95,68000,
4513830,"Аккум. Шуруповерт Einhell TE-CD 18/2 Li Kit (2x1,5 Ah) (4513830)",0,0,8,73900,
4513914,"Аккум. Шуруповерт Einhell TC-CD 18/35 Li (1x1,5 Ah) (4513914)",0,0,13,42500,
4513896,"Аккум. Шуруповерт Einhell TP-CD 18/50 Li BL (2x2,0Ah) (4513896)",0,0,0,74600,
4513948,"Аккум. Шуруповерт Einhell TE-CD 18/40-1 Li (1x2,5Ah) (4513948)",0,0,0,62100,
4513990,"Аккум. Шуруповерт Einhell TE-CD 18/45 3X-Li +22 1x2,0Ah (4513990)",0,0,12,89900,
4513995,"Аккум. Шуруповерт Einhell TE-CD 18/40 Li BL (2x2,0Ah) (4513995)",0,0,39,98600,
4514219,,0,0,0,89000,
4513957,"Аккум. Шуруповерт Einhell TC-CD 18/35 Li +39 (2x2,0 Ah) (4513957)",0,0,11,105400,
4513926,Аккум. Ударный Шуруповерт Einhell TE-CD 18/48 Li-i-Solo (4513926),-50,0,0,44300,
4513860,Аккум. Ударный Шуруповерт Einhell TP-CD 18 Li-i Brushless-Solo (4513860),-50,0,0,68000,
4514205,Аккум. Ударный Шуруповерт Einhell TP-CD 18/60 Li- i BL Solo (4514205),-2,52,101,68000,
4514305,Аккум. Ударный Шуруповерт Einhell TP-CD 18/80 Li-i BL - Solo (4514305),0,100,95,74800,
4514310,Аккум. Ударный Шуруповерт Einhell TP-CD 18/120 Li-i BL - Solo (4514310),0,100,93,99900,
4513935,"Аккум. Ударный Шуруповерт Einhell TE-CD 18/48 Li-i (2x2,0Ah) (4513935)",0,0,5,95200,
4513940,"Аккум. Ударный Шуруповерт Einhell TP-CD 18/50 Li-i BL (2x2,0Ah) (4513940)",0,0,22,115600,
4513992,"Аккум. Ударный Шуруповерт Einhell TE-CD 18/40 Li-i +64 (2x2,0Ah) (4513992)",0,0,9,97600,
4514206,,0,0,0,129200,
4514220,"Аккум. Ударный Шуруповерт Einhell TE-CD 18/2 Li-i +22 (1x2,5 Ah) (4514220)",0,0,155,69900,
4514225,,0,0,0,136000,
4513861,"Аккум. Ударный Шуруповерт Einhell TP-CD 18 Li-i BL (2x2,0Ah) (4513861)",0,0,0,122400,
4510030,Аккум. Винтоверт Einhell TP-CI 18 Li BL - Solo (4510030),-18,0,0,68000,
4510040,Аккум. Гайковерт Einhell TP-CW 18 Li Brushless-Solo (4510040),-38,0,6,74800,
4510070,Аккум. Гайковерт Einhell IMPAXXO 18/450 - Solo (4510070),0,52,82,105500,
4510080,Аккум. Гайковерт Einhell IMPAXXO 18/230 - Solo (4510080),0,52,56,78200,
4259980,Аккум. Шуруповерт для гипсокартона Einhell TE-DY 18 Li-Solo (4259980),-30,0,1,68000,
4461000,Аккум. Ленточная шлифмашина Einhell TE-BF 18 Li-solo (4461000),-10,54,54,71400,
4514290,Аккум. Угловой шуруповерт Einhell TE-AD 18 Li - Solo (4514290),0,0,46,39900,
4345400,Аккум. Рубанок Einhell TE-PL 18/82 Li - Solo (4345400),-6,60,15,74800,
4345405,Аккум. Рубанок Einhell TP-PL 18/3 Li BL - Solo (4345405),0,52,27,108800,
4350412,Аккум. Фрезер Einhell TP-ET 18 Li BL - Solo (4350412),-6,54,2,81600,
4350630,Аккум. Ламельный фрезер Einhell TE-BJ 18 Li - Solo (4350630),0,0,8,74800,
4350411,Аккум. Фрезер Einhell TP-RO 18 Li BL - Solo (4350411),-5,0,2,89900,
4350410,Аккум. Фрезер Einhell TP-RO 18 Set Li BL - Solo (4350410),0,0,8,118200,
4331207,Аккум. Циркулярная пила Einhell TE-CS 18/165-1 Li - Solo (4331207),0,0,4,67900,
